x,y,U,V,p,patch
0.57425,-0.04775,0.0,0.0,-375.18,foil
0.27163,0.059875,0.0,0.0,-698.3,foil
0.73156,-0.0335,0.0,0.0,-108.14,foil
0.021688,-0.0245,0.0,0.0,-348.89,foil
0.039687,0.03225,0.0,0.0,-589.69,foil
0.45537,0.0555,0.0,0.0,-362.83,foil
0.59375,0.046125,0.0,0.0,-228.37,foil
0.76812,-0.029625,0.0,0.0,-167.75,foil
0.85137,0.020375,0.0,0.0,-16.111,foil
0.218,-0.05825,0.0,0.0,-510.49,foil
0.0010625,-0.005875,0.0,0.0,1558.6,foil
0.37363,0.058875,0.0,0.0,-429.57,foil
0.39556,0.05825,0.0,0.0,-552.65,foil
0.16456,0.054875,0.0,0.0,-693.44,foil
0.018875,-0.022875,0.0,0.0,-55.106,foil
0.97306,-0.005,0.0,0.0,185.36,foil
0.0815,0.043375,0.0,0.0,-634.85,foil
0.11825,0.049625,0.0,0.0,-583.09,foil
0.29994,0.06,0.0,0.0,-551.49,foil
0.52081,0.051625,0.0,0.0,-382.3,foil
0.23112,0.058875,0.0,0.0,-426.86,foil
0.56469,-0.048375,0.0,0.0,-347.93,foil
0.91044,0.013125,0.0,0.0,32.41,foil
0.78106,0.02825,0.0,0.0,-167.49,foil
0.25194,0.0595,0.0,0.0,-700.51,foil
0.48875,0.053625,0.0,0.0,-331.27,foil
0.68694,0.037875,0.0,0.0,-161.65,foil
0.72013,0.034625,0.0,0.0,-128.39,foil
0.98188,0.00375,0.0,0.0,181.68,foil
0.78781,0.0275,0.0,0.0,-107.34,foil
0.51556,-0.051875,0.0,0.0,-386.56,foil
0.4505,-0.05575,0.0,0.0,-369.59,foil
0.01175,-0.018375,0.0,0.0,352.29,foil
0.0093125,-0.016375,0.0,0.0,237.77,foil
0.52062,-0.051625,0.0,0.0,-339.66,foil
0.87163,-0.018,0.0,0.0,-10.431,foil
0.28381,0.06,0.0,0.0,-511.23,foil
0.0335,-0.02975,0.0,0.0,-458.92,foil
0.41994,-0.05725,0.0,0.0,-421.86,foil
0.84369,0.02125,0.0,0.0,-14.491,foil
0.019437,-0.02325,0.0,0.0,-172.42,foil
0.56881,0.048125,0.0,0.0,-294.34,foil
0.28363,-0.06,0.0,0.0,-577.1,foil
0.71113,0.0355,0.0,0.0,-223.55,foil
0.33519,-0.05975,0.0,0.0,-498.1,foil
0.0335,0.029875,0.0,0.0,-256.52,foil
0.94813,0.008375,0.0,0.0,66.297,foil
0.57388,0.04775,0.0,0.0,-238.23,foil
0.77431,0.029,0.0,0.0,-66.421,foil
0.78519,0.027875,0.0,0.0,-88.6,foil
0.64025,0.042125,0.0,0.0,-302.79,foil
0.19025,-0.05675,0.0,0.0,-547.93,foil
0.0003125,-0.003375,0.0,0.0,1678.7,foil
0.0005,-0.003875,0.0,0.0,1501.4,foil
0.14225,0.052625,0.0,0.0,-594.71,foil
0.46044,0.05525,0.0,0.0,-340.62,foil
0.62806,0.04325,0.0,0.0,-194.17,foil
0.86413,0.018875,0.0,0.0,11.876,foil
0.2555,-0.0595,0.0,0.0,-506.99,foil
0.19681,-0.057125,0.0,0.0,-367.17,foil
0.84856,-0.02075,0.0,0.0,-59.983,foil
0.99369,-0.001375,0.0,0.0,240.16,foil
0.69388,0.03725,0.0,0.0,-162.57,foil
0.97025,0.005375,0.0,0.0,158.97,foil
0.08675,-0.0445,0.0,0.0,-680.14,foil
0.015125,-0.02075,0.0,0.0,35.733,foil
